start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      579    0.006    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      282    0.001    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      282    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
     5401    0.006    0.000    0.086    0.000 <__array_function__ internals>:2(norm)
        1    0.000    0.000    0.075    0.075 rcsetup.py:1(<module>)
     1347    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1382    0.075    0.000    0.075    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.073    0.073 art3d.py:1(<module>)
        1    0.000    0.000    0.073    0.073 geo.py:1(<module>)
     5392    0.005    0.000    0.072    0.000 <__array_function__ internals>:2(array_equal)
     5401    0.040    0.000    0.072    0.000 linalg.py:2363(norm)
        1    0.000    0.000    0.071    0.071 legend.py:1(<module>)
      127    0.001    0.000    0.070    0.001 docstring.py:36(__call__)
  115/105    0.000    0.000    0.070    0.001 docstring.py:83(__call__)
       13    0.000    0.000    0.069    0.005 docstring.py:55(__missing__)
     7015    0.008    0.000    0.067    0.000 re.py:288(_compile)
        1    0.000    0.000    0.065    0.065 _base.py:1(<module>)
  338/335    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     5392    0.035    0.000    0.062    0.000 numeric.py:2385(array_equal)
        1    0.000    0.000    0.062    0.062 offsetbox.py:1(<module>)
    10792    0.023    0.000    0.061    0.000 _ufunc_config.py:32(seterr)
    16176    0.008    0.000    0.060    0.000 _methods.py:60(_all)
    10784    0.021    0.000    0.060    0.000 {method 'all' of 'numpy.generic' objects}
      284    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.057    0.057 multiarray.py:1(<module>)
      233    0.001    0.000    0.055    0.000 sre_compile.py:783(compile)
        1    0.000    0.000    0.054    0.054 overrides.py:1(<module>)
       32    0.000    0.000    0.053    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
       32    0.048    0.001    0.052    0.002 {built-in method _imp.create_dynamic}
    23418    0.030    0.000    0.052    0.000 inspect.py:2630(__init__)
     5185    0.004    0.000    0.048    0.000 re.py:197(search)
        1    0.000    0.000    0.046    0.046 polar.py:1(<module>)
        1    0.000    0.000    0.045    0.045 axis.py:1(<module>)
     5396    0.007    0.000    0.043    0.000 _ufunc_config.py:429(__enter__)
    11362    0.039    0.000    0.039    0.000 {built-in method numpy.array}
      284    0.038    0.000    0.038    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.038    0.038 image.py:1(<module>)
        1    0.000    0.000    0.038    0.038 colors.py:1(<module>)
509103/507802    0.037    0.000    0.037    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.036    0.036 category.py:1(<module>)
        1    0.000    0.000    0.036    0.036 _axes.py:46(Axes)
       36    0.000    0.000    0.035    0.001 util.py:205(__call__)
        4    0.000    0.000    0.035    0.009 pool.py:738(__exit__)
        4    0.000    0.000    0.035    0.009 pool.py:654(terminate)
     8830    0.023    0.000    0.035    0.000 inspect.py:2913(__init__)
        4    0.000    0.000    0.035    0.009 pool.py:680(_terminate_pool)
   196310    0.034    0.000    0.034    0.000 {built-in method builtins.min}
      233    0.001    0.000    0.034    0.000 sre_parse.py:944(parse)
        1    0.000    0.000    0.033    0.033 fontconfig_pattern.py:1(<module>)
       30    0.006    0.000    0.033    0.001 __init__.py:763(_rc_params_in_file)
   209500    0.032    0.000    0.032    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.032    0.032 quiver.py:1(<module>)
      316    0.001    0.000    0.031    0.000 overrides.py:183(decorator)
        2    0.000    0.000    0.031    0.016 core.py:1(<module>)
  525/233    0.002    0.000    0.031    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.031    0.031 text.py:1(<module>)
        1    0.000    0.000    0.031    0.031 axis3d.py:1(<module>)
     5396    0.006    0.000    0.030    0.000 _ufunc_config.py:434(__exit__)
        1    0.000    0.000    0.030    0.030 py3k.py:1(<module>)
  588/237    0.012    0.000    0.030    0.000 sre_parse.py:494(_parse)
