start
halfway
(10000, 5392)
         2949252 function calls (2915667 primitive calls) in 14.204 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      350    0.003    0.000    0.071    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.069    0.069 _base.py:1(<module>)
      328    0.000    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      328    0.002    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
     5401    0.033    0.000    0.061    0.000 linalg.py:2363(norm)
      579    0.006    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      233    0.002    0.000    0.061    0.000 sre_compile.py:783(compile)
     5392    0.004    0.000    0.060    0.000 <__array_function__ internals>:2(array_equal)
  338/335    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    23418    0.035    0.000    0.058    0.000 inspect.py:2630(__init__)
      282    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      282    0.055    0.000    0.055    0.000 {built-in method marshal.loads}
     5185    0.004    0.000    0.054    0.000 re.py:197(search)
        1    0.000    0.000    0.054    0.054 rcsetup.py:1(<module>)
    10792    0.021    0.000    0.051    0.000 _ufunc_config.py:32(seterr)
     5392    0.027    0.000    0.050    0.000 numeric.py:2385(array_equal)
    16176    0.007    0.000    0.049    0.000 _methods.py:60(_all)
        1    0.000    0.000    0.049    0.049 polar.py:1(<module>)
    10784    0.017    0.000    0.048    0.000 {method 'all' of 'numpy.generic' objects}
        1    0.000    0.000    0.048    0.048 axis.py:1(<module>)
        1    0.000    0.000    0.048    0.048 multiarray.py:1(<module>)
       32    0.000    0.000    0.048    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       32    0.044    0.001    0.047    0.001 {built-in method _imp.create_dynamic}
     1347    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1382    0.047    0.000    0.047    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.045    0.045 overrides.py:1(<module>)
        1    0.000    0.000    0.044    0.044 image.py:1(<module>)
509103/507802    0.042    0.000    0.042    0.000 {built-in method builtins.len}
      284    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        1    0.000    0.000    0.041    0.041 text.py:1(<module>)
     8830    0.026    0.000    0.040    0.000 inspect.py:2913(__init__)
   196310    0.039    0.000    0.039    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.035    0.035 _axes.py:46(Axes)
     5396    0.006    0.000    0.035    0.000 _ufunc_config.py:429(__enter__)
      233    0.001    0.000    0.035    0.000 sre_parse.py:944(parse)
        1    0.000    0.000    0.034    0.034 axis3d.py:1(<module>)
        1    0.000    0.000    0.034    0.034 quiver.py:1(<module>)
    11362    0.033    0.000    0.033    0.000 {built-in method numpy.array}
   105178    0.032    0.000    0.032    0.000 {built-in method builtins.getattr}
  525/233    0.002    0.000    0.032    0.000 sre_parse.py:436(_parse_sub)
       85    0.000    0.000    0.032    0.000 re.py:249(compile)
   296428    0.032    0.000    0.032    0.000 {method 'lstrip' of 'str' objects}
      316    0.001    0.000    0.032    0.000 overrides.py:183(decorator)
   209500    0.031    0.000    0.032    0.000 {built-in method builtins.isinstance}
  588/237    0.013    0.000    0.031    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.031    0.031 __init__.py:2275(class_factory)
       36    0.000    0.000    0.031    0.001 util.py:205(__call__)
        4    0.000    0.000    0.030    0.008 pool.py:738(__exit__)
        4    0.000    0.000    0.030    0.008 pool.py:654(terminate)
        4    0.000    0.000    0.030    0.008 pool.py:680(_terminate_pool)
        1    0.000    0.000    0.029    0.029 lines.py:1(<module>)
        1    0.000    0.000    0.029    0.029 category.py:1(<module>)
      435    0.027    0.000    0.027    0.000 {built-in method builtins.dir}
      284    0.027    0.000    0.027    0.000 {method 'read' of '_io.BufferedReader' objects}
     5396    0.005    0.000    0.027    0.000 _ufunc_config.py:434(__exit__)
        1    0.000    0.000    0.027    0.027 colors.py:1(<module>)
      216    0.013    0.000    0.026    0.000 artist.py:1358(<listcomp>)
     2184    0.008    0.000    0.025    0.000 inspect.py:663(_finddoc)
    37947    0.025    0.000    0.025    0.000 {method 'split' of 'str' objects}
       30    0.005    0.000    0.024    0.001 __init__.py:763(_rc_params_in_file)
        2    0.000    0.000    0.024    0.012 core.py:1(<module>)
      233    0.000    0.000    0.024    0.000 sre_compile.py:622(_code)
     8751    0.014    0.000    0.024    0.000 inspect.py:612(unwrap)
        1    0.000    0.000    0.023    0.023 fontconfig_pattern.py:1(<module>)
      336    0.023    0.000    0.023    0.000 {built-in method builtins.compile}
    23924    0.014    0.000    0.022    0.000 enum.py:359(__call__)
     8613    0.014    0.000    0.021    0.000 inspect.py:66(get_annotations)
     9093    0.021    0.000    0.021    0.000 {method 'search' of 're.Pattern' objects}
