0.6731808185577393
         104806 function calls (102071 primitive calls) in 0.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      388    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        7    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:407(__getitem__)
    12622    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1401    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
   137/22    0.001    0.000    0.003    0.000 sre_compile.py:87(_compile)
       39    0.000    0.000    0.003    0.000 typing.py:532(Literal)
      325    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      280    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
      252    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
      184    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      262    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:391(cached)
      199    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      139    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       27    0.001    0.000    0.002    0.000 typing.py:1323(__class_getitem__)
        9    0.001    0.000    0.002    0.000 enum.py:180(__new__)
      586    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
     4141    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      554    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1449    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
      123    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       12    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
      156    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      554    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      159    0.001    0.000    0.001    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1401    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
      725    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x564551c549a0}
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       12    0.000    0.000    0.001    0.000 typing.py:1239(copy_with)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      554    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
       54    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
   172/57    0.001    0.000    0.001    0.000 sre_parse.py:175(getwidth)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      313    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       29    0.000    0.000    0.001    0.000 abc.py:105(__new__)
      246    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      123    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       28    0.001    0.000    0.001    0.000 inspect.py:744(cleandoc)
      139    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       57    0.001    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
       33    0.000    0.000    0.001    0.000 typing.py:1083(copy_with)
      129    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
      144    0.000    0.000    0.001    0.000 typing.py:1284(__hash__)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       35    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1864    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
     1966    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       93    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
     3276    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
     1559    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
5237/5093    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.001    0.000 typing.py:2267(__new__)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
     1000    0.000    0.000    0.001    0.000 sre_parse.py:165(__getitem__)
     1866    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        5    0.000    0.000    0.001    0.000 typing.py:2247(_make_nmtuple)
       22    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      570    0.000    0.000    0.001    0.000 sre_parse.py:255(get)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      251    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
      740    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:1(<module>)
     3711    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       15    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     1868    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
      107    0.000    0.000    0.000    0.000 re.py:187(match)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     3145    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       49    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
      407    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
       39    0.000    0.000    0.000    0.000 typing.py:284(_flatten_literal_params)
       26    0.000    0.000    0.000    0.000 core.py:6855(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
    371/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
     1062    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
  108/106    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
