         3016217 function calls (3003914 primitive calls) in 37.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12802    0.030    0.000    0.082    0.000 {method 'all' of 'numpy.generic' objects}
        1    0.000    0.000    0.075    0.075 geo.py:1(<module>)
     7014    0.010    0.000    0.075    0.000 re.py:288(_compile)
        1    0.000    0.000    0.073    0.073 axis.py:1(<module>)
    12810    0.031    0.000    0.072    0.000 _ufunc_config.py:33(seterr)
     6404    0.041    0.000    0.070    0.000 linalg.py:2383(norm)
     1399    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1434    0.068    0.000    0.068    0.000 {built-in method posix.stat}
    23418    0.040    0.000    0.067    0.000 inspect.py:2630(__init__)
        1    0.000    0.000    0.062    0.062 image.py:1(<module>)
      232    0.002    0.000    0.060    0.000 sre_compile.py:783(compile)
     5185    0.005    0.000    0.060    0.000 re.py:197(search)
  352/347    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.058    0.058 polar.py:1(<module>)
        1    0.000    0.000    0.056    0.056 rcsetup.py:1(<module>)
        1    0.000    0.000    0.051    0.051 quiver.py:1(<module>)
      297    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     6405    0.009    0.000    0.049    0.000 _ufunc_config.py:430(__enter__)
      297    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.046    0.046 numerictypes.py:1(<module>)
509717/508417    0.046    0.000    0.046    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.045    0.045 _axes.py:46(Axes)
     8830    0.028    0.000    0.044    0.000 inspect.py:2913(__init__)
       30    0.005    0.000    0.044    0.001 __init__.py:763(_rc_params_in_file)
        1    0.000    0.000    0.044    0.044 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.043    0.022 core.py:1(<module>)
        1    0.000    0.000    0.043    0.043 axis3d.py:1(<module>)
   196339    0.042    0.000    0.042    0.000 {built-in method builtins.min}
   224089    0.041    0.000    0.041    0.000 {built-in method builtins.isinstance}
       36    0.000    0.000    0.041    0.001 util.py:205(__call__)
        4    0.000    0.000    0.041    0.010 pool.py:738(__exit__)
        4    0.000    0.000    0.041    0.010 pool.py:654(terminate)
        1    0.000    0.000    0.041    0.041 py3k.py:1(<module>)
        4    0.000    0.000    0.041    0.010 pool.py:680(_terminate_pool)
     6401    0.005    0.000    0.040    0.000 {method 'all' of 'numpy.ndarray' objects}
       32    0.000    0.000    0.040    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.000    0.000    0.039    0.020 core.py:193(read_style_directory)
       32    0.035    0.001    0.039    0.001 {built-in method _imp.create_dynamic}
    13381    0.039    0.000    0.039    0.000 {built-in method numpy.array}
     6405    0.008    0.000    0.039    0.000 _ufunc_config.py:435(__exit__)
