         3016217 function calls (3003914 primitive calls) in 37.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1493/479    0.004    0.000    0.004    0.000 sre_parse.py:175(getwidth)
       32    0.000    0.000    0.004    0.000 colors.py:927(from_list)
       16    0.000    0.000    0.004    0.000 rcsetup.py:618(cycler)
       24    0.003    0.000    0.004    0.000 synchronize.py:50(__init__)
      433    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    63/11    0.000    0.000    0.004    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
     3180    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        2    0.000    0.000    0.004    0.002 __init__.py:12(__getattr__)
     1338    0.001    0.000    0.004    0.000 re.py:187(match)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.004    0.004 dates.py:1(<module>)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
      806    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
     6406    0.004    0.000    0.004    0.000 _ufunc_config.py:426(__init__)
       36    0.004    0.000    0.004    0.000 util.py:186(__init__)
    24936    0.004    0.000    0.004    0.000 inspect.py:2680(name)
     5974    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
    23619    0.004    0.000    0.004    0.000 {method 'isidentifier' of 'str' objects}
    25631    0.004    0.000    0.004    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.004    0.004 backend_tools.py:1(<module>)
    11939    0.002    0.000    0.004    0.000 _mathtext.py:2469(<genexpr>)
       10    0.000    0.000    0.004    0.000 pyparsing.py:5120(__init__)
       64    0.001    0.000    0.004    0.000 deprecation.py:318(delete_parameter)
        1    0.000    0.000    0.004    0.004 connection.py:1(<module>)
       19    0.001    0.000    0.004    0.000 enum.py:180(__new__)
        3    0.000    0.000    0.004    0.001 patches.py:2159(pprint_styles)
     7235    0.004    0.000    0.004    0.000 sre_parse.py:234(__next)
      317    0.001    0.000    0.004    0.000 function_base.py:497(add_newdoc)
     32/9    0.000    0.000    0.004    0.000 pyparsing.py:4466(leaveWhitespace)
    12802    0.004    0.000    0.004    0.000 fromnumeric.py:2416(_all_dispatcher)
       18    0.000    0.000    0.004    0.000 rcsetup.py:390(validate_font_properties)
        9    0.000    0.000    0.004    0.000 fontconfig_pattern.py:119(parse)
        1    0.000    0.000    0.003    0.003 __init__.py:189(_check_versions)
        1    0.000    0.000    0.003    0.003 ntpath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 font_manager.py:1429(_load_fontmanager)
        2    0.000    0.000    0.003    0.002 __init__.py:46(_get_running_interactive_framework)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        3    0.000    0.000    0.003    0.001 patches.py:2163(<listcomp>)
      242    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 version.py:257(Version)
        2    0.003    0.002    0.003    0.002 {built-in method matplotlib._c_internal_utils.display_is_valid}
      392    0.001    0.000    0.003    0.000 re.py:202(sub)
        1    0.000    0.000    0.003    0.003 font_manager.py:1010(json_load)
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
      182    0.003    0.000    0.003    0.000 typing.py:206(_collect_type_vars)
     4125    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.003    0.003 pyplot.py:2025(_setup_pyplot_info_docstrings)
        8    0.000    0.000    0.003    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:299(loads)
        1    0.000    0.000    0.003    0.003 decoder.py:332(decode)
        1    0.001    0.001    0.003    0.003 decoder.py:343(raw_decode)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.003    0.003 transforms.py:1(<module>)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
      594    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
       10    0.000    0.000    0.003    0.000 pyparsing.py:3140(__init__)
        1    0.000    0.000    0.003    0.003 axes3d.py:44(Axes3D)
      876    0.001    0.000    0.003    0.000 colors.py:106(_is_nth_color)
      671    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
    45/12    0.000    0.000    0.003    0.000 typing.py:1046(__getitem__)
       39    0.000    0.000    0.003    0.000 typing.py:407(__getitem__)
     56/9    0.000    0.000    0.003    0.000 pyparsing.py:3897(leaveWhitespace)
      329    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1594    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
    13482    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.003    0.003 filedialog.py:1(<module>)
   114/56    0.000    0.000    0.003    0.000 pyparsing.py:3968(copy)
       39    0.000    0.000    0.003    0.000 typing.py:532(Literal)
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
      806    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
