x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.6015253509260308,-1.578862432866568,3.108832788877988,0.9994691231212446,0.0,0.03258023829333242,-0.0008242617601307833,0.9996799179600352,0.025286008383458757,-0.03256980994419695,-0.025299439270813105,0.999149211005434
-1.6094176605087251,-1.5146232119539385,3.110161027961933,0.9993833802559218,0.0,0.0351120957541402,-0.0008543580248169919,0.9997039257741134,0.02431729557725701,-0.035101699967570524,-0.02433229935345717,0.9990874885952482
-1.6158291172828263,-1.450410096979036,3.111462230605225,0.9993090058819287,0.0,0.03716867986990117,-0.000868763415448114,0.9997268016274671,0.023357383368922766,-0.03715852544705152,-0.023373534343672783,0.9990359962878645
-1.6208257789492564,-1.3862231419493465,3.1127435513457016,0.9992481133395933,0.0,0.03877122628010546,-0.0008693734710417562,0.9997485693039655,0.022406301891248964,-0.03876147800369575,-0.02242316156731557,0.9989968716909454
-1.6244735391499123,-1.3220623255463588,3.114009738402501,0.9992020433719561,0.0,0.03994091287524446,-0.0008579777065932883,0.999769252955711,0.021464033139987446,-0.03993169662765229,-0.02148117418530678,0.9989714804538004
-1.6268381094512148,-1.2579275689235858,3.11526342642277,0.999171458385969,0.0,0.040698854367856356,-0.0008362616190350269,0.9997888768716402,0.020530522405647008,-0.040690261898401546,-0.020547546903322663,0.9989605101819065
-1.6279850182896272,-1.1938187512925575,3.116505414194276,0.9991564318174527,0.0,0.04106610229637097,-0.0008058089550341995,0.9998074652948148,0.019605688273699903,-0.041058195646472236,-0.019622240971854037,0.9989640595284188
-1.6279796228367331,-1.1297357234445347,3.1177349274190997,0.9991565326401496,0.0,0.04106364916216756,-0.0007681041203361949,0.9998250422819346,0.01868943129118665,-0.041056464759814705,-0.01870520852403587,0.9989817224932088
-1.6268871302373458,-1.0656783193537285,3.1189498667613997,0.9991709050961903,0.0,0.040712435560400974,-0.0007245346374902698,0.9998416315991269,0.017781641396537543,-0.04070598799708562,-0.017796396298014407,0.9990126679977512
-1.6247726251394048,-1.0016463660039694,3.120147041444855,0.9991983437445925,0.0,0.040033359315245716,-0.0006763935821857342,0.9998572566485907,0.016882204206682107,-0.04002764481936888,-0.016895748789388917,0.9990557148242837
-1.621701100868816,-0.9376396915758175,3.1213223886956016,0.9992373639301034,0.0,0.039047285770180414,-0.0006248819483810501,0.9998719404211746,0.0159910062518259,-0.0390422853912104,-0.016003210877675374,0.9991094020141317
-1.617737492006517,-0.8736581321255892,3.1224711793149873,0.9992862677702827,0.0,0.037775058514035925,-0.000571110909235712,0.9998857054704429,0.015107939244117742,-0.03777074103149407,-0.015118729968968988,0.999172054816415
-1.612946706500236,-0.8097015368821057,3.1235882096326524,0.9993432057471767,0.0,0.0362375099441986,-0.0005161039548564463,0.9998985739042456,0.014232903462165393,-0.0362338345150451,-0.014242257695166806,0.9992418462674992
-1.6073936557911754,-0.7457697722814799,3.124667980042237,0.999406233973831,0.0,0.03445547118012062,-0.00046079889932926373,0.9999105673902127,0.013365810329235898,-0.034452389737411535,-0.01337375120834585,0.9993168544660892
-1.6011432817577451,-0.6818627248550856,3.1257048602659,0.9994733671872945,0.0,0.0324497809436589,-0.00040604975868971247,0.9999217071719975,0.012506584259161258,-0.03244724035854076,-0.012513174107237224,0.9993951155908642
-1.5942605795759313,-0.6179803030811638,3.1266932414353943,0.9995426275004673,0.0,0.030241293118221043,-0.0003526285086255853,0.9999320140934506,0.01165516384055745,-0.030239237136493177,-0.01166049703123042,0.999474672688802
-1.58681061587003,-0.5541224383063363,3.1276276750208805,0.9996120889265024,0.0,0.027850882786621838,-0.0003012267360280292,0.999941508628242,0.010811502426994107,-0.02784925375028298,-0.010815697955998843,0.9995536202441953
-1.5788585417791547,-0.4902890848396084,3.1285029985875834,0.9996799176726068,0.0,0.02529945062822961,-0.00025245720220824156,0.9999502109127653,0.009975568198219499,-0.025298190991675292,-0.00997876222365655,0.9996301445219791
-1.570469600794614,-0.42648021931823005,3.12931444831711,0.9997444081857759,0.0,0.02260792562957585,-0.0002068553378616678,0.9999581407804478,0.009147343755414752,-0.0226069792794533,-0.009149682339323431,0.9997025596650975
-1.5617091314311173,-0.36269583944195766,3.130057758196723,0.9998040149218297,0.0,0.01979726612917969,-0.0001648806908612837,0.9999653177958658,0.00832682531166373,-0.019796579516354496,-0.008328457565070658,0.9997693395148899
-1.5526425649807,-0.298935962169746,3.1307292457568896,0.9998573798013662,0.0,0.01688845927686739,-0.00012691834785826987,0.9999717612873225,0.007514021537305475,-0.016887982368518305,-0.007515093341410578,0.9998291451160995
-1.5433354187618562,-0.23520062147058993,3.1313258842255065,0.9999033553120699,0.0,0.013902519040242171,-9.328034961784817e-05,0.9999774903767823,0.006708952118503599,-0.013902206099776802,-0.006709600565756412,0.9998808478642879
-1.5338532854171758,-0.17148986571805203,3.13184536096596,0.9999410232160677,0.0,0.010860482936017593,-6.420711817160403e-05,0.9999825240062941,0.005911646086137241,-0.010860293138286159,-0.005911994756574608,0.9999235482530395
-1.5242618189301176,-0.10780375481584344,3.1322861220748743,0.9999697088234987,0.0,0.007783407701476974,-3.9868911373866164e-05,0.9999868809602397,0.0051221399709113985,-0.007783305590641865,-0.00512229513125731,0.9999565901811293
-1.514626718124812,-0.04414235713959118,3.132647403032792,0.9999889907987353,0.0,0.0046923641511568675,-2.0367317455326525e-05,0.999990579882961,0.004340475839328898,-0.004692319948537373,-0.00434052362502708,0.9999795707854041
