x,y,z,tau1_x,tau1_y,tau1_z,tau2_x,tau2_y,tau2_z,normal_x,normal_y,normal_z
-1.3984746490739692,-1.421137567133432,-3.1201857069985697,0.9994691231212446,0.0,0.03258023829333242,-0.0008242617601307833,0.9996799179600352,0.025286008383458757,-0.03256980994419695,-0.025299439270813105,0.999149211005434
-1.3905823394912749,-1.3629278084542247,-3.1184726704985612,0.9993833802559218,0.0,0.0351120957541402,-0.0008543580248169919,0.9997039257741134,0.02431729557725701,-0.035101699967570524,-0.02433229935345717,0.9990874885952482
-1.3841708827171737,-1.3046919438372908,-3.116850448200191,0.9993090058819287,0.0,0.03716867986990117,-0.000868763415448114,0.9997268016274671,0.023357383368922766,-0.03715852544705152,-0.023373534343672783,0.9990359962878645
-1.3791742210507436,-1.2464299192751433,-3.115325212101359,0.9992481133395933,0.0,0.03877122628010546,-0.0008693734710417562,0.9997485693039655,0.022406301891248964,-0.03876147800369575,-0.02242316156731557,0.9989968716909454
-1.3755264608500877,-1.1881417560862941,-3.1139007278812656,0.9992020433719561,0.0,0.03994091287524446,-0.0008579777065932883,0.999769252955711,0.021464033139987446,-0.03993169662765229,-0.02148117418530678,0.9989714804538004
-1.3731618905487852,-1.1298275331172303,-3.1125786476471213,0.999171458385969,0.0,0.040698854367856356,-0.0008362616190350269,0.9997888768716402,0.020530522405647008,-0.040690261898401546,-0.020547546903322663,0.9989605101819065
-1.3720149817103728,-1.0714873711564221,-3.1113587876467537,0.9991564318174527,0.0,0.04106610229637097,-0.0008058089550341995,0.9998074652948148,0.019605688273699903,-0.041058195646472236,-0.019622240971854037,0.9989640595284188
-1.3720203771632669,-1.0131214194126081,-3.1102393910423074,0.9991565326401496,0.0,0.04106364916216756,-0.0007681041203361949,0.9998250422819346,0.01868943129118665,-0.041056464759814705,-0.01870520852403587,0.9989817224932088
-1.3731128697626542,-0.9547298439115776,-3.109217375958002,0.9991709050961903,0.0,0.040712435560400974,-0.0007245346374902698,0.9998416315991269,0.017781641396537543,-0.04070598799708562,-0.017796396298014407,0.9990126679977512
-1.3752273748605952,-0.8963128176695002,-3.1082885690775797,0.9991983437445925,0.0,0.040033359315245716,-0.0006763935821857342,0.9998572566485907,0.016882204206682107,-0.04002764481936888,-0.016895748789388917,0.9990557148242837
-1.378298899131184,-0.8378705125058151,-3.107447925087238,0.9992373639301034,0.0,0.039047285770180414,-0.0006248819483810501,0.9998719404211746,0.0159910062518259,-0.0390422853912104,-0.016003210877675374,0.9991094020141317
-1.382262507993483,-0.7794030923642068,-3.106689732248387,0.9992862677702827,0.0,0.037775058514035925,-0.000571110909235712,0.9998857054704429,0.015107939244117742,-0.03777074103149407,-0.015118729968968988,0.999172054816415
-1.387053293499764,-0.7209107080158537,-3.10600780435073,0.9993432057471767,0.0,0.0362375099441986,-0.0005161039548564463,0.9998985739042456,0.014232903462165393,-0.0362338345150451,-0.014242257695166806,0.9992418462674992
-1.3926063442088246,-0.6623934930246426,-3.1053956592479692,0.999406233973831,0.0,0.03445547118012062,-0.00046079889932926373,0.9999105673902127,0.013365810329235898,-0.034452389737411535,-0.01337375120834585,0.9993168544660892
-1.3988567182422549,-0.6038515608592002,-3.1048466841223252,0.9994733671872945,0.0,0.0324497809436589,-0.00040604975868971247,0.9999217071719975,0.012506584259161258,-0.03244724035854076,-0.012513174107237224,0.9993951155908642
-1.4057394204240687,-0.5452850030412851,-3.1043542875656134,0.9995426275004673,0.0,0.030241293118221043,-0.0003526285086255853,0.9999320140934506,0.01165516384055745,-0.030239237136493177,-0.01166049703123042,0.999474672688802
-1.41318938412997,-0.48669388822427595,-3.1039120385080565,0.9996120889265024,0.0,0.027850882786621838,-0.0003012267360280292,0.999941508628242,0.010811502426994107,-0.02784925375028298,-0.010815697955998843,0.9995536202441953
-1.4211414582208453,-0.428078262099167,-3.103513791974942,0.9996799176726068,0.0,0.02529945062822961,-0.00025245720220824156,0.9999502109127653,0.009975568198219499,-0.025298190991675292,-0.00997876222365655,0.9996301445219791
-1.429530399205386,-0.36943814802870895,-3.1031538016079385,0.9997444081857759,0.0,0.02260792562957585,-0.0002068553378616678,0.9999581407804478,0.009147343755414752,-0.0226069792794533,-0.009149682339323431,0.9997025596650975
-1.4382908685688827,-0.31077354831314447,-3.1028268188543713,0.9998040149218297,0.0,0.01979726612917969,-0.0001648806908612837,0.9999653177958658,0.00832682531166373,-0.019796579516354496,-0.008328457565070658,0.9997693395148899
-1.4473574350193,-0.25208444599351926,-3.10252817870477,0.9998573798013662,0.0,0.01688845927686739,-0.00012691834785826987,0.9999717612873225,0.007514021537305475,-0.016887982368518305,-0.007515093341410578,0.9998291451160995
-1.4566645812381438,-0.1933708071008389,-3.1022538718470933,0.9999033553120699,0.0,0.013902519040242171,-9.328034961784817e-05,0.9999774903767823,0.006708952118503599,-0.013902206099776802,-0.006709600565756412,0.9998808478642879
-1.4661467145828242,-0.13463258326153993,-3.10200060310479,0.9999410232160677,0.0,0.010860482936017593,-6.420711817160403e-05,0.9999825240062941,0.005911646086137241,-0.010860293138286159,-0.005911994756574608,0.9999235482530395
-1.4757381810698824,-0.07586971457191165,-3.101765836034547,0.9999697088234987,0.0,0.007783407701476974,-3.9868911373866164e-05,0.9999868809602397,0.0051221399709113985,-0.007783305590641865,-0.00512229513125731,0.9999565901811293
-1.485373281875188,-0.017082132656327482,-3.101547823576967,0.9999889907987353,0.0,0.0046923641511568675,-2.0367317455326525e-05,0.999990579882961,0.004340475839328898,-0.004692319948537373,-0.00434052362502708,0.9999795707854041
-1.4949862915186538,0.0417302361734863,-3.101345624677843,0.9999987064732411,0.0,0.0016084314857864055,-5.736798816932409e-06,0.9999936392914961,0.003566699263801564,-0.001608421255022576,-0.0035667038774284702,0.999992345772965
-1.5045114768576338,0.10056746773837175,-3.1011591068272337,0.9999989526482647,0.0,-0.0014473086656152721,4.053709256213318e-06,0.9999960775833432,0.002800857278658388,0.001447302988667655,-0.002800860212144192,0.9999950302357163
-1.513883115995358,0.15942963686831718,-3.1009889344961405,0.9999900818807598,0.0,-0.00445377818388834,9.099142918223136e-06,0.9999979130393369,0.0020429963721037467,0.004453768889028467,-0.0020430166349863416,0.9999879949407953
-1.5230355162186784,0.2183168144101521,-3.100836543483842,0.9999726942563787,0.0,-0.007389908094077604,9.556598656138306e-06,0.9999991638218662,0.0012931605622760207,0.0073899019147980445,-0.0012931958739510066,0.9999718581010774
-1.5319030301130525,0.2772290644375966,-3.10070410122076,0.9999476246633703,0.0,-0.010234643622705434,5.643571672644182e-06,0.9999998479688161,0.0005513896034600066,0.010234642066720447,-0.0005514184841887398,0.999947472640149
-1.5404200690619048,0.3361664417314632,-3.100594453099832,0.9999159255900357,0.0,-0.012966948423666115,-2.363848249704011e-06,0.9999999833837265,-0.00018228263376472215,0.012966948208203759,0.000182297960358177,0.9999159089751596
-1.5485211134219024,0.3951289895942162,-3.1005110549317028,0.9998788454754061,0.0,-0.015565807745467985,-1.4132812760855191e-05,0.9999995878227854,-0.0009078295670687743,0.015565801329596706,0.0009079395680555021,0.9998784333481286
-1.5561407187748133,0.4541167380593786,-3.1004578916339454,0.9998378026474245,0.0,-0.01801023034750119,-2.9275570068288266e-05,0.99999867887936,-0.0016252330527460022,0.01801020655381414,0.0016254967040080126,0.9998364817410665
-1.5632135177898945,0.5131297025525171,-3.100439382270507,0.9997943548847228,0.0,-0.02027924901570443,-4.735132490830753e-05,0.999997273966864,-0.0023344842455939314,0.020279193733799637,0.0023349644196211717,0.999791629412182
-1.5696742173876224,0.5721678830568131,-3.100460271553709,0.999750164636729,0.0,-0.022351919578262772,-6.786808829598289e-05,0.999995390300818,-0.0030355841345042303,0.022351816542637373,0.003036342720290769,0.9997455560892128
-1.575457591075501,0.6312312638325723,-3.1005255079068754,0.999706959932193,0.0,-0.024207318379622384,-9.028450195719912e-05,0.9999930448810227,-0.0037285437224059688,0.024207150014842933,0.0037296366553843576,0.9997000068513443
-1.5804984665292308,0.6903198137365787,-3.1006401081612687,0.9996664909983207,0.0,-0.025824538236031803,-0.0001140116231513116,0.9999902544748093,-0.00441338382150324,0.02582428656234389,0.004414856215792327,0.9996567487233505
-1.5847317087174766,0.7494334871839246,-3.1008090089270843,0.9996304826017786,0.0,-0.027182682967937258,-0.00013841465728521972,0.9999870356023609,-0.005090134436854067,0.027182330560826362,0.005092016025367463,0.99961752299471
