construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       90    0.000    0.000    0.100    0.001 util.py:205(__call__)
       10    0.000    0.000    0.100    0.010 pool.py:738(__exit__)
       10    0.000    0.000    0.100    0.010 pool.py:654(terminate)
       10    0.001    0.000    0.099    0.010 pool.py:680(_terminate_pool)
      885    0.010    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      262    0.002    0.000    0.090    0.000 sre_compile.py:783(compile)
        3    0.000    0.000    0.089    0.030 registry.py:1(<module>)
        1    0.000    0.000    0.088    0.088 dispatcher.py:1(<module>)
        1    0.000    0.000    0.085    0.085 compiler.py:1(<module>)
      520    0.003    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
     7502    0.006    0.000    0.079    0.000 <__array_function__ internals>:177(all)
      520    0.078    0.000    0.078    0.000 {built-in method marshal.loads}
      626    0.072    0.000    0.072    0.000 {built-in method numpy.array}
     2323    0.071    0.000    0.071    0.000 {built-in method posix.stat}
     2287    0.002    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.070    0.070 rcsetup.py:1(<module>)
      460    0.001    0.000    0.070    0.000 popen_fork.py:24(poll)
        1    0.000    0.000    0.070    0.070 art3d.py:1(<module>)
      522    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      453    0.069    0.000    0.069    0.000 {built-in method posix.waitpid}
       20    0.000    0.000    0.069    0.003 process.py:142(join)
       20    0.000    0.000    0.068    0.003 popen_fork.py:36(wait)
        1    0.000    0.000    0.067    0.067 config.py:1(<module>)
      127    0.001    0.000    0.065    0.001 docstring.py:36(__call__)
  115/105    0.000    0.000    0.065    0.001 docstring.py:83(__call__)
        1    0.000    0.000    0.064    0.064 legend.py:1(<module>)
        2    0.000    0.000    0.063    0.032 builtins.py:1(<module>)
       13    0.000    0.000    0.062    0.005 docstring.py:55(__missing__)
    14/13    0.000    0.000    0.062    0.005 __init__.py:108(import_module)
    14/13    0.000    0.000    0.062    0.005 <frozen importlib._bootstrap>:1038(_gcd_import)
     7502    0.008    0.000    0.062    0.000 fromnumeric.py:2432(all)
      118    0.000    0.000    0.062    0.001 re.py:249(compile)
        2    0.001    0.000    0.062    0.031 old_builtins.py:1(<module>)
        1    0.000    0.000    0.061    0.061 _base.py:1(<module>)
        1    0.000    0.000    0.059    0.059 geo.py:1(<module>)
  587/583    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.057    0.057 offsetbox.py:1(<module>)
