         2861753 function calls (2849461 primitive calls) in 64.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.059    0.059 legend.py:1(<module>)
        1    0.000    0.000    0.052    0.052 offsetbox.py:1(<module>)
      232    0.001    0.000    0.052    0.000 sre_compile.py:783(compile)
    23418    0.029    0.000    0.048    0.000 inspect.py:2630(__init__)
  351/346    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.047    0.047 rcsetup.py:1(<module>)
     5185    0.003    0.000    0.045    0.000 re.py:197(search)
        1    0.000    0.000    0.045    0.045 axis.py:1(<module>)
    10802    0.014    0.000    0.042    0.000 {method 'all' of 'numpy.generic' objects}
        1    0.000    0.000    0.041    0.041 polar.py:1(<module>)
    10810    0.018    0.000    0.040    0.000 _ufunc_config.py:33(seterr)
       54    0.000    0.000    0.039    0.001 util.py:205(__call__)
      296    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        6    0.000    0.000    0.039    0.007 pool.py:738(__exit__)
        6    0.000    0.000    0.039    0.007 pool.py:654(terminate)
        6    0.001    0.000    0.039    0.006 pool.py:680(_terminate_pool)
      296    0.038    0.000    0.038    0.000 {built-in method marshal.loads}
       32    0.000    0.000    0.037    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       32    0.026    0.001    0.037    0.001 {built-in method _imp.create_dynamic}
509771/508471    0.035    0.000    0.036    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.035    0.035 image.py:1(<module>)
     5410    0.017    0.000    0.034    0.000 linalg.py:2383(norm)
     8830    0.021    0.000    0.033    0.000 inspect.py:2913(__init__)
        1    0.000    0.000    0.032    0.032 axis3d.py:1(<module>)
      232    0.001    0.000    0.032    0.000 sre_parse.py:944(parse)
       30    0.003    0.000    0.031    0.001 __init__.py:763(_rc_params_in_file)
   196339    0.031    0.000    0.031    0.000 {built-in method builtins.min}
  524/232    0.002    0.000    0.030    0.000 sre_parse.py:436(_parse_sub)
        2    0.000    0.000    0.030    0.015 core.py:1(<module>)
        1    0.000    0.000    0.029    0.029 _axes.py:46(Axes)
  587/236    0.012    0.000    0.029    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.029    0.029 index_tricks.py:1(<module>)
        1    0.000    0.000    0.029    0.029 lines.py:1(<module>)
        1    0.000    0.000    0.029    0.029 multiarray.py:1(<module>)
   215116    0.028    0.000    0.029    0.000 {built-in method builtins.isinstance}
    10804    0.004    0.000    0.029    0.000 _methods.py:61(_all)
        1    0.000    0.000    0.028    0.028 overrides.py:1(<module>)
       85    0.000    0.000    0.027    0.000 re.py:249(compile)
        1    0.000    0.000    0.027    0.027 quiver.py:1(<module>)
