here 1
 here 3
here 2
         36639787 function calls (35992064 primitive calls) in 29.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.001    0.000    0.542    0.005 artist.py:1730(kwdoc)
    89031    0.313    0.000    0.532    0.000 proj3d.py:105(_proj_transform_vec)
     3676    0.046    0.000    0.524    0.000 transforms.py:673(intersection)
     3677    0.060    0.000    0.523    0.000 axes3d.py:731(set_xlim3d)
    11073    0.078    0.000    0.515    0.000 collections.py:785(_set_edgecolor)
   105231    0.324    0.000    0.510    0.000 __init__.py:132(check_shape)
   168192    0.121    0.000    0.498    0.000 <__array_function__ internals>:177(dot)
    29432    0.091    0.000    0.495    0.000 collections.py:323(_prepare_points)
    45642    0.096    0.000    0.486    0.000 colors.py:152(to_rgba)
     4412    0.057    0.000    0.475    0.000 artist.py:1046(update)
        1    0.000    0.000    0.472    0.472 pyplot.py:665(figure)
        1    0.000    0.000    0.471    0.471 pyplot.py:303(new_figure_manager)
        1    0.000    0.000    0.471    0.471 backend_bases.py:3487(new_figure_manager)
        1    0.000    0.000    0.470    0.470 _backend_tk.py:916(new_figure_manager_given_figure)
        1    0.000    0.000    0.466    0.466 colorbar.py:1(<module>)
     3676    0.015    0.000    0.457    0.000 _base.py:3884(set_ybound)
    18465    0.051    0.000    0.450    0.000 colors.py:287(to_rgba_array)
        8    0.026    0.003    0.444    0.055 art3d.py:789(do_3d_projection)
     3804    0.029    0.000    0.443    0.000 patches.py:747(get_patch_transform)
        1    0.000    0.000    0.443    0.443 config.py:1(<module>)
     7379    0.015    0.000    0.440    0.000 collections.py:804(set_edgecolor)
   168023    0.181    0.000    0.437    0.000 transforms.py:1900(__init__)
      218    0.030    0.000    0.431    0.002 artist.py:1422(get_setters)
   125753    0.105    0.000    0.428    0.000 <__array_function__ internals>:177(concatenate)
   394519    0.427    0.000    0.427    0.000 {built-in method numpy.array}
    33635    0.026    0.000    0.422    0.000 inspect.py:725(getdoc)
    62665    0.088    0.000    0.417    0.000 transforms.py:1122(get_points)
     3676    0.013    0.000    0.417    0.000 axes3d.py:1431(set_zbound)
    33167    0.227    0.000    0.416    0.000 transforms.py:2839(nonsingular)
    29848    0.019    0.000    0.408    0.000 backend_bases.py:658(new_gc)
    11033    0.085    0.000    0.396    0.000 _base.py:2482(_process_unit_info)
      115    0.006    0.000    0.392    0.003 artist.py:1491(pprint_setters)
    32605    0.245    0.000    0.391    0.000 inspect.py:744(cleandoc)
    29848    0.112    0.000    0.389    0.000 backend_bases.py:735(__init__)
     3677    0.042    0.000    0.387    0.000 axes3d.py:788(set_ylim3d)
        1    0.000    0.000    0.381    0.381 _subplots.py:1(<module>)
      354    0.262    0.001    0.378    0.001 {method 'call' of '_tkinter.tkapp' objects}
    27846    0.017    0.000    0.368    0.000 artist.py:1441(is_alias)
     3677    0.039    0.000    0.358    0.000 axes3d.py:846(set_zlim3d)
    22061    0.021    0.000    0.345    0.000 ticker.py:1640(nonsingular)
   439342    0.264    0.000    0.343    0.000 __init__.py:657(__getitem__)
        1    0.000    0.000    0.339    0.339 _axes.py:1(<module>)
        3    0.000    0.000    0.326    0.109 decorators.py:1(<module>)
        1    0.000    0.000    0.322    0.322 dylib.py:1(<module>)
   100190    0.094    0.000    0.320    0.000 <__array_function__ internals>:177(empty_like)
     7378    0.030    0.000    0.315    0.000 collections.py:578(set_linewidth)
      419    0.001    0.000    0.315    0.001 ffi.py:139(__getattr__)
    75027    0.271    0.000    0.313    0.000 transforms.py:207(set_children)
      290    0.000    0.000    0.311    0.001 ffi.py:132(_lib)
        1    0.000    0.000    0.311    0.311 ffi.py:117(_load_lib)
    29410    0.017    0.000    0.307    0.000 inspect.py:3174(bind)
        1    0.000    0.000    0.305    0.305 stencil.py:1(<module>)
        2    0.000    0.000    0.305    0.152 __init__.py:340(__init__)
        2    0.304    0.152    0.304    0.152 {built-in method _ctypes.dlopen}
    59056    0.104    0.000    0.304    0.000 transforms.py:2462(__init__)
     3679    0.013    0.000    0.303    0.000 cm.py:342(__init__)
   103816    0.087    0.000    0.296    0.000 <__array_function__ internals>:177(copyto)
     7383    0.012    0.000    0.294    0.000 transforms.py:326(xmin)
       24    0.008    0.000    0.294    0.012 axis3d.py:265(draw)
   157591    0.111    0.000    0.292    0.000 {built-in method builtins.any}
    29410    0.220    0.000    0.290    0.000 inspect.py:3043(_bind)
     7962    0.023    0.000    0.290    0.000 transforms.py:1480(transform)
    45589    0.050    0.000    0.288    0.000 artist.py:81(_stale_axes_callback)
    59056    0.082    0.000    0.287    0.000 transforms.py:2497(get_matrix)
    29432    0.056    0.000    0.284    0.000 artist.py:237(have_units)
   105231    0.134    0.000    0.283    0.000 path.py:191(_update_values)
      218    0.001    0.000    0.282    0.001 artist.py:1327(__init__)
      218    0.014    0.000    0.280    0.001 artist.py:1347(get_aliases)
      608    0.006    0.000    0.261    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.261    0.261 contour.py:1(<module>)
     7355    0.021    0.000    0.257    0.000 transforms.py:945(update_from_data_xy)
     3893    0.007    0.000    0.255    0.000 <__array_function__ internals>:177(broadcast_arrays)
    60183    0.045    0.000    0.255    0.000 figure.py:46(_stale_figure_callback)
      585    0.001    0.000    0.251    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      585    0.004    0.000    0.250    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
   339499    0.245    0.000    0.245    0.000 {method 'copy' of 'numpy.ndarray' objects}
      523    0.004    0.000    0.244    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.001    0.001    0.244    0.244 rcsetup.py:1(<module>)
    29446    0.094    0.000    0.242    0.000 inspect.py:1964(_signature_bound_method)
  588/583    0.004    0.000    0.242    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    29440    0.023    0.000    0.242    0.000 collections.py:880(update_scalarmappable)
      872    0.011    0.000    0.240    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      523    0.238    0.000    0.238    0.000 {built-in method marshal.loads}
   235434    0.148    0.000    0.237    0.000 transforms.py:1783(__init__)
   395416    0.210    0.000    0.233    0.000 {built-in method builtins.min}
     9256    0.018    0.000    0.232    0.000 art3d.py:824(<genexpr>)
        1    0.000    0.000    0.230    0.230 _backend_tk.py:407(__init__)
        1    0.000    0.000    0.230    0.230 _backend_tk.py:433(_get_toolbar)
        1    0.000    0.000    0.230    0.230 _backend_tk.py:522(__init__)
     3676    0.033    0.000    0.230    0.000 collections.py:252(get_datalim)
    11081    0.175    0.000    0.229    0.000 collections.py:673(_bcast_lwls)
    22066    0.065    0.000    0.229    0.000 _base.py:3591(_validate_converted_limits)
        7    0.000    0.000    0.227    0.032 _backend_tk.py:646(_Button)
     3676    0.016    0.000    0.225    0.000 transforms.py:905(update_from_data_x)
     3893    0.018    0.000    0.224    0.000 stride_tricks.py:480(broadcast_arrays)
        3    0.000    0.000    0.223    0.074 registry.py:1(<module>)
        1    0.000    0.000    0.219    0.219 dispatcher.py:1(<module>)
    59242    0.219    0.000    0.219    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    41/40    0.000    0.000    0.217    0.005 <frozen importlib._bootstrap_external>:1174(create_module)
    41/40    0.209    0.005    0.217    0.005 {built-in method _imp.create_dynamic}
     7728    0.008    0.000    0.216    0.000 transforms.py:2417(transform_affine)
    29432    0.015    0.000    0.215    0.000 transforms.py:1731(frozen)
        1    0.000    0.000    0.215    0.215 backend_bases.py:1(<module>)
     2318    0.213    0.000    0.213    0.000 {built-in method posix.stat}
    46230    0.043    0.000    0.209    0.000 colors.py:106(_is_nth_color)
     2275    0.002    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.207    0.207 compiler.py:1(<module>)
    29848    0.037    0.000    0.205    0.000 artist.py:886(_set_gc_clip)
    40522    0.081    0.000    0.204    0.000 _base.py:2939(_get_axis_list)
    37199    0.059    0.000    0.203    0.000 fromnumeric.py:69(_wrapreduction)
    29408    0.014    0.000    0.199    0.000 transforms.py:263(__array__)
36710/36188    0.055    0.000    0.197    0.000 __init__.py:276(process)
16026/8071    0.043    0.000    0.191    0.000 transforms.py:2441(get_affine)
     9854    0.017    0.000    0.189    0.000 <__array_function__ internals>:177(norm)
    11033    0.014    0.000    0.182    0.000 axis.py:1437(update_units)
        1    0.000    0.000    0.182    0.182 collections.py:1(<module>)
    14/13    0.000    0.000    0.180    0.014 __init__.py:108(import_module)
    14/13    0.000    0.000    0.180    0.014 <frozen importlib._bootstrap>:1038(_gcd_import)
    15461    0.078    0.000    0.179    0.000 transforms.py:767(__init__)
       13    0.000    0.000    0.178    0.014 __init__.py:2589(__init__)
        1    0.000    0.000    0.177    0.177 colors.py:1(<module>)
        1    0.000    0.000    0.173    0.173 __init__.py:2279(__init__)
        1    0.172    0.172    0.172    0.172 {built-in method _tkinter.create}
     3679    0.004    0.000    0.171    0.000 cm.py:575(set_norm)
     3893    0.170    0.000    0.171    0.000 stride_tricks.py:416(_broadcast_shape)
    52471    0.060    0.000    0.171    0.000 re.py:288(_compile)
    37474    0.128    0.000    0.171    0.000 __init__.py:65(check_isinstance)
22066/11033    0.082    0.000    0.169    0.000 units.py:181(get_converter)
     3706    0.062    0.000    0.168    0.000 cycler.py:364(by_key)
     3679    0.033    0.000    0.167    0.000 cm.py:555(norm)
     8777    0.065    0.000    0.166    0.000 inspect.py:2276(_signature_from_function)
    46683    0.048    0.000    0.164    0.000 re.py:187(match)
     7776    0.008    0.000    0.164    0.000 transforms.py:1348(__add__)
        5    0.000    0.000    0.162    0.032 __init__.py:2660(__init__)
    29848    0.042    0.000    0.160    0.000 backend_bases.py:906(set_clip_path)
        9    0.026    0.003    0.159    0.018 collections.py:1192(set_verts)
     9854    0.081    0.000    0.157    0.000 linalg.py:2342(norm)
    33201    0.096    0.000    0.155    0.000 __init__.py:872(get_siblings)
   355229    0.132    0.000    0.155    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.155    0.155 widgets.py:1(<module>)
